# collected: 2026-09-21 08:02 KST
# window: 2026-09-18 00:00 ~ 2026-09-21 08:02 KST
# part 1 of 1, lines: 134
# format: date | media | title | url | tags

2026-09-18 08:59 | yna.co.kr | 삼성물산 패션, 가을 신상품 10% 할인…온오프라인 통합 행사 | https://www.yna.co.kr/view/AKR20260918026900030?input=1195m | a1
2026-09-18 08:50 | Seoul Economic Daily | Samsung, SK hynix Jump 3% in Premarket as Wall Street Rebounds - Seoul Economic Daily | google:Seoul Economic Daily | aen1
2026-09-18 08:44 | 아시아경제 | Samsung C&T Fashion Offers 10% Off New Fall Arrivals... 'Brand Day' from September 18 to 20 - 아시아경제 | google:아시아경제 | aen1
2026-09-18 08:44 | view.asiae.co.kr | 삼성물산 패션, 가을 신상품 10% 할인…18~20일 '브랜드데이' | https://view.asiae.co.kr/article/2026091808343251128 | a1
2026-09-18 08:43 | newsis.com | "추석 전 가을옷 장만" 삼성물산 패션, 온·오프라인 할인 행사 | https://www.newsis.com/view/NISX20260918_0003794883 | a1
2026-09-18 08:32 | lawissue.co.kr | 삼성물산 패션, 추석 앞두고 온·오프라인 브랜드데이 진행 | http://www.lawissue.co.kr/view.php?ud=20260918083123201204ead0791_12 | a1
2026-09-18 08:27 | news.sbs.co.kr | Where Are They Now? The Rise and Fall of Korea's Dot-Com Craze - news.sbs.co.kr | google:news.sbs.co.kr | aen1
2026-09-18 08:27 | news1.kr | 삼성물산 패션, 가을 신상품 10% 할인…온·오프라인 '브랜드데이' | https://www.news1.kr/industry/distribution/6294668 | a1
2026-09-18 08:16 | mk.co.kr | “Freechal” Founder Jeon Je-wan’s Shocking Update: Now Working as a Guesthouse Cleaner (Kkokkomu) - mk.co.kr | google:mk.co.kr | aen1
2026-09-18 08:00 | newsroad.co.kr | 삼성물산 패션, 가을 신상품 10% 할인 '브랜드데이'…온·오프라인 동시... | http://www.newsroad.co.kr/news/articleView.html?idxno=64547 | a1
2026-09-18 07:58 | theguru.co.kr | '자율교섭' 재개한 노조…'협상 타결' 없으면 삼성바이오로직스 경쟁력... | https://www.theguru.co.kr/news/article.html?no=107263 | a7
2026-09-18 07:55 | thelec.net | Samsung Display Sets July 2028 Equipment Move-In for 650 Billion Won A7 Fab - thelec.net | google:thelec.net | aen1
2026-09-18 07:40 | slist.kr | 삼성물산 패션, 온·오프라인 통합 프로모션...할인 및 페이백 | https://www.slist.kr/news/articleView.html?idxno=767036 | a1
2026-09-18 07:16 | Yahoo Finance Singapore | What Charles River Laboratories International (CRL)'s Accelerated, NGS-Enabled Cell Banking Platform Means For Shareholders - Yahoo Finance Singapore | google:Yahoo Finance Singapore | aen4
2026-09-18 07:01 | Sawitku | 47 Korporasi Nakal Dilaporkan ke Prabowo Terkait Karhutla Riau - Sawitku Id - Sawitku | google:Sawitku | aid1,aid6
2026-09-18 06:46 | 헤럴드경제 | 'Munsuro Vista The Park' opens model home Friday ahead of subscription schedule - 헤럴드경제 | google:헤럴드경제 | aen1
2026-09-18 06:10 | yakup.com | [BMK2026]삼성바이오로직스, ADC 상업화 앞당긴다…제형·공정 최적화 전... | https://www.yakup.com/news/index.html?mode=view&cat=12&nid=332729 | a7
2026-09-18 06:00 | Chosunbiz | KOSHA stalls eight years on Samsung fund as safety center remains unopened - CHOSUNBIZ - Chosunbiz | google:Chosunbiz | aen13
2026-09-18 05:30 | mt.co.kr | 무리한 과징금, 법원서 '제동'..."혈세 줄줄 새는데" 일단 때리고 보자? | https://www.mt.co.kr/industry/2026/09/18/2026091718443351824 | a12?
2026-09-18 04:42 | SilverTrade | SILVER SHOCK ON THE HORIZON? Samsung Set to Begin Silver Solid State Battery Mass Production in 2027 - SilverTrade | google:SilverTrade | aen1
2026-09-18 01:05 | finance.biggo.com | South Korea Proposes 'Resilient Power Grid' at G20; Expands Transformer, SMR Cooperation with U.S. - finance.biggo.com | google:finance.biggo.com | aen1
2026-09-18 00:21 | BeritaOne.id | Soroti Polemik 10 Pekerja SPPBE PT Awal Bros, Advokat Muda Riau Minta Disnaker Periksa Dugaan Tekanan - BeritaOne.id | google:BeritaOne.id | aid2
2026-09-18 00:04 | katakabar.com | Ungkap 58 Perkara Karhutla Selama 2026, Polda Riau Tangkap 61 Pelaku - katakabar.com | google:katakabar.com | aid8
